Symbol,Name
MLSS,Milestone Scientific
MRIC,MRI Interventions
MYO,Myomo Inc.
NNVC,NanoViricides
ATEST,NASDAQ TEST STOCK
ATEST.A,NASDAQ TEST STOCK
ATEST.B,NASDAQ TEST STOCK
ATEST.C,NASDAQ TEST STOCK
NHC,National HealthCare Corporation
NAVB,Navidea Biopharmaceuticals
NTIP,Network-1 Technologies
NBW,Neuberger Berman California Municipal Fund Inc
NHS,Neuberger Berman High Yield Strategies Fund
NML,Neuberger Berman MLP and Energy Income Fund Inc.
NBH,Neuberger Berman Municipal Fund Inc.
NBO,Neuberger Berman New York Municipal Fund Inc.
NRO,Neuberger Berman Real Estate Securities Income Fund
GBR,New Concept Energy
NEN,New England Realty Associates Limited Partnership
NGD,New Gold Inc.
NXE,Nexgen Energy Ltd.
HLTH,Nobilis Health Corp.
NAK,Northern Dynasty Minerals
NOG,Northern Oil and Gas
NBY,NovaBay Pharmaceuticals
NG,Novagold Resources Inc.
NRCG,NRC Group Holdings Corp.
NRCG.WS,NRC Group Holdings Corp.
NTN,NTN Buzztime
NES,Nuverra Environmental Solutions
OCX,OncoCyte Corporation
OGEN,Oragenics Inc.
PCG^A,Pacific Gas & Electric Co.
PCG^B,Pacific Gas & Electric Co.
PCG^C,Pacific Gas & Electric Co.
PCG^D,Pacific Gas & Electric Co.
PCG^E,Pacific Gas & Electric Co.
PCG^G,Pacific Gas & Electric Co.
PCG^H,Pacific Gas & Electric Co.
PCG^I,Pacific Gas & Electric Co.
PTN,Palatin Technologies
PZG,Paramount Gold Nevada Corp.
PRK,Park National Corporation
PED,Pedevco Corp.
PFNX,Pfenex Inc.
HNW,Pioneer Diversified High Income Trust
PLAG,Planet Green Holdings Corp
PLG,Platinum Group Metals Ltd.
PLYM,Plymouth Industrial REIT
PLYM^A,Plymouth Industrial REIT
PLM,Polymet Mining Corp.
PW,Power REIT
PW^A,Power REIT
PLX,Protalix BioTherapeutics
RLGT,Radiant Logistics
RFL,Rafael Holdings
UTG,Reaves Utility Income Fund
RHE,Regional Health Properties
RHE^A,Regional Health Properties
RCG,RENN Fund
RVP,Retractable Technologies
REI,Ring Energy
RIF,RMR Real Estate Income Fund
SACH,Sachem Capital Corp.
SCCB,Sachem Capital Corp.
SNMP,Sanchez Midstream Partners LP
SAND          ,Sandstorm Gold Ltd
SEB,Seaboard Corporation
SENS,Senseonics Holdings
SVT,Servotronics
SMTS,Sierra Metals Inc.
SIF,SIFCO Industries
SVM,Silvercorp Metals Inc.
SILV,SilverCrest Metals Inc.
XPL,Solitario Zinc Corp.
SCE^B,Southern California Edison Company
SCE^C,Southern California Edison Company
SCE^D,Southern California Edison Company
SCE^E,Southern California Edison Company
SGB,Southwest Georgia Financial Corporation
LOV,Spark Networks
SRCI,SRC Energy Inc.
SDI,Standard Diversified Inc.
SSY,SunLink Health Systems
SDPI,Superior Drilling Products
SYN,Synthetic Biologics
TKAT,Takung Art Co.
TALO.WS,Talos Energy
TRX,Tanzanian Gold Corporation
TGB,Taseko Mines Limited
TGC,Tengasco
GLU,The Gabelli Global Utility and Income Trust
GLU^A,The Gabelli Global Utility and Income Trust
GLU^B,The Gabelli Global Utility and Income Trust
GGO,The Gabelli Go Anywhere Trust
GGO^A,The Gabelli Go Anywhere Trust
TDW.WS,Tidewater Inc.
TMP,Tompkins Financial Corporation
TAT,Transatlantic Petroleum Ltd
TRXC,TransEnterix
TMQ,Trilogy Metals Inc.
TPHS,Trinity Place Holdings Inc.
TRT,Trio-Tech International
UFAB,Unique Fabricating
UAMY,United States Antimony Corporation
UUU,Universal Security Instruments
UQM,UQM Technologies Inc.
URG,Ur Energy Inc
UEC,Uranium Energy Corp.
VHC,VirnetX Holding Corp
VGZ,Vista Gold Corporation
VNRX,VolitionRX Limited
VISI,Volt Information Sciences
EAD,Wells Fargo Income Opportunities Fund
ERC,Wells Fargo Multi-Sector Income Fund
ERH,Wells Fargo Utilities and High Income Fund
WRN,Western Copper and Gold Corporation
WYY,WidePoint Corporation
WTT,Wireless Telecom Group
XTNT,Xtant Medical Holdings
YUMA,Yuma Energy
ZDGE,Zedge
ZOM,Zomedica Pharmaceuticals Corp.
